A1SNEGAF,A1SSATIS,A1PA44,A1SEMA
1,9,999,3.964
1.667,5.75,999,3.464
1.333,7.875,999,2.179
 , ,40, 
2.5,6.75,999,2.893
1.5,7.125,60,2.357
1.667,8.25,25,1.25
1.5,8.25,999,3.964
1.333,9,999,3.536
2.167,7.75,999,1.643
1.5,8.25,999,2.893
3,5,18,2.036
1.167,8.75,999,2.357
1.167,8.5,999,2.071
1.5,8.5,999,2.607
 , ,999, 
1.333,8.75,30,3.25
 , ,15, 
 , ,20, 
 , ,999, 
1.5,6,999,3.143
1.667,8.125,999,3.571
 , ,10, 
1,9.75,999,3.964
 , ,999, 
1.333,7.25,999,3.964
1.5,7.5,999,3.964
1.667,5.75,999,1.929
1,9.25,999,3.714
1.333,9.5,999,3.036
1,6,999,9
1,9.125,999,3.286
2.5,7.333,20,2.714
1,7.875,999,2.607
1,7.75,999,1.929
 , ,999, 
 , ,999, 
1.167,8.25,999,2.75
1.167,9.5,999,3.964
1,7.125,999,1.214
3.833,6.5,999,1.071
1.333,9.75,999,3.821
2.167,6.5,999,2.893
 , ,40, 
1.167,6.333,999,2.464
2,5.5,999,3.571
1.4,8.333,15,3.333
1.5,7,10,3.679
2,6.25,20,1.214
1,7.75,999,2.893
1.5,6.375,999,2.071
1.833,9,999,2.036
1.667,7.125,999,1.929
1.333,8.25,999,2.857
2,5.625,999,3.821
1.333,8.875,999,2.75
1.167,8.625,999,2.857
1.333,7.375,999,3.821
 , ,999, 
1,8.125,40,2.321
1.833,6.25,20,3.429
1.167,8.375,999,3.821
1.333,8,999,2.964
1,9.125,999,3.964
3,9,999,2.25
1.5,8.5,999,3.964
1,8.75,999,2.464
2.833,6,999,2.786
1.333,8.5,999,3.571
1.5,6.125,999,1.929
1.333,8.667,999,2.571
1,8.125,999,3.143
1.167,7.5,20,3.964
2.167,4.5,10,2.857
1.5,6.875,999,3.821
1.333,7.5,999,3.25
 , ,60, 
1.5,8.375,999,3.821
1.667,7.75,30,2.75
1.167,9,999,2.75
1,4.625,999,2.25
1.667,7.75,999,3.571
 , ,999, 
2.167,7.667,23,1.821
1,7.75,999,3.821
1.167,7.25,999,3.964
1,7.75,17,3.536
1.333,8.75,999,3.286
2.5,8.625,999,3.821
1,8.75,999,3.286
 , ,999, 
1,8.375,20,3.321
1.167,7.625,40,1.607
 , ,6, 
1.167,8,999,1.929
1.167,7.75,999,1.393
1.333,8.5,999,3.821
1,10,999,3.857
2.667,6.5,999,3.143
1.167,9,999,3.679
1,7.625,999,9
1,7.5,999,2.786
1,8.25,999,3.143
1.5,8.125,999,2.929
1,7.75,999,3.321
 , ,999, 
 , ,20, 
1.5,8.5,999,3.429
1,10,20,2.286
1.333,6,999,3.536
2,7,999,3.679
2.833,8.25,999,3.964
2.833,8,999,2.464
1,8.25,999,2.536
1.667,5.333,15,2.071
1,8,999,3.536
2.167,6.375,40,2.429
3.333,5,999,3.571
1.667,6.5,999,3.036
1.167,9,999,3.143
1,7.625,999,2.321
1.167,9.5,999,3.964
1,8.667,20,3.25
3.333,8.25,999,3.964
1.167,8.667,999,1.893
1.5,8.625,999,2.607
 , ,999, 
3.333,8.375,999,3.857
1.167,9,999,3.393
 , ,999, 
1.5,7.125,999,2.714
2,8.625,999,3.714
1.167,8.125,999,2.893
3,7.875,999,2.286
1,7.75,999,2.071
 , ,999, 
1,9,999,3.964
 , ,40, 
1.167,8,999,2.607
1.833,7.75,999,3.714
2.5,5.125,999,2.179
2.2,4.875,40,2.857
1.5,7.875,999,3.464
 , ,10, 
1.5,5.25,999,2.607
1.167,8.25,999,3.143
1.833,7.375,999,2.357
2.333,5.25,999,3.964
1.333,9.25,999,2.75
1,8.5,999,2.893
 , ,999, 
2,7.75,999,2.893
1,7.75,999,3.821
2.333,7.375,999,3.143
1,7,999,9
1,8.625,10,3.964
2,7.5,999,3.964
1,8.25,999,3.75
3.333,6.833,50,2.714
1,9.75,999,2.071
1.333,7.75,999,3.571
1.667,7.375,999,2.464
1,10,20,3.964
 , ,999, 
1.333,9,999,3.964
1.167,7.375,999,2.357
1,8.375,999,2.75
1.5,8,999,3.321
2.5,6,40,3.286
1.167,6.5,999,3.286
1.5,8.5,999,3.036
1.833,8.25,999,3.964
1.833,8.75,20,3.571
1,8,999,3.429
1.5,5.667,60,2.857
1,6.75,10,3.964
1,8,999,3.857
2,3.25,40,2.286
2,6,999,3.393
1,7.375,999,3.964
1,9.333,20,3.286
 , ,999, 
1.833,5,999,3.571
1.833,5.125,999,2.214
1.167,8,999,3.429
1.833,7.875,999,3.821
2.667,7.75,10,3
 , ,999, 
 , ,7, 
3,7.375,999,.964
1.333,7.75,999,3.964
1.333,7.667,999,3.964
1.833,8,999,3.571
1,6.5,999,3.571
1.167,9,999,3.571
1.167,7,25,3.571
1,6,999,3.679
3.5,1.667,999,3.679
1.667,8.375,999,3.964
1.333,7.25,999,3.036
1.167,8.125,999,3.964
1.333,9,999,3.714
1.333,6,999,3.714
1.5,7.75,999,2.786
1.667,7,20,2.893
1.667,8.25,999,3.714
1,8,999,2.571
1.333,7,999,2.036
1,8.625,999,3.143
1.167,6.875,999,3.143
1.333,7.75,999,3.429
 , ,20, 
1.833,5.75,20,3.821
2.667,5.25,999,2.036
1.333,8.75,999,3.964
1.833,7.625,999,2.321
 , ,999, 
1.333,8.5,999,3.964
1.333,8.75,20,3.964
1.833,7,999,3.036
 , ,999, 
1.667,6.875,30,2.821
1.5,6.75,999,3.321
1.167,8.125,999,2.679
2,9.667,999,2.714
1.167,8,999,2.357
1.5,8.667,999,3.143
1.333,8.375,999,3
1,8.25,999,2.875
1.333,8.125,999,3.964
2.333,7,999,2.179
1,7.625,10,2.786
 , ,999, 
1.333,8,999,3.214
1.5,8.75,999,3.429
4,6.5,999,3.679
2.333,8.5,10,2.321
1.5,8.75,999,3.964
1.333,8.375,999,3.821
1.333,6.125,40,3.25
1.667,6.75,999,2.786
1,6.875,999,3.429
2.2,8,999,3.429
1,9,999,3.964
3.5,6.875,20,2.143
2,8,999,3.536
1,8.75,999,3.107
2.167,7.25,999,3.679
1.167,8.5,999,2.071
1.333,7.667,999,3.179
1.5,8.5,999,3.821
1.333,6.75,999,1.821
1.5,7.375,999,3.429
3.4,3.333,15,2.857
1.667,8.75,999,3.964
1.167,8.5,999,3.679
1.167,5.75,999,1.786
1.167,8.25,999,3.321
 , ,999, 
1.167,6.625,999,3.571
1.667,7.875,999,3.143
 , ,999, 
1.5,7.667,999,1.25
1.333,8.5,999,2.893
1.5,8.625,999,2.464
1,9.75,999,2.214
1.5,7.625,999,3.179
3,6.625,999,3.714
 , ,999, 
1.333,8.75,999,3.393
1.667,7.625,60,2.036
 , ,999, 
2,5,20,2.857
1.5,6.5,40,3.821
1,8.5,999,3.821
9,6.75,999,4
1.333,7.5,999,3
1.333,8.5,999,3.821
1.333,7.75,999,3.571
1,10,999,3.179
2.333,4,999,1.964
 , ,6, 
1,9.75,40,3.679
1.5,7.25,999,3
1.5,5.667,999,3.857
1.333,6,10,3.964
2.667,6.5,20,1.607
2.333,7.125,999,3.821
1.333,8,999,3.143
1.333,8.75,999,3.821
1.5,9.75,999,3.821
1,8.625,10,3.536
1,6.833,999,3.286
 , ,999, 
1,10,5,3.964
 , ,999, 
1,9.75,999,3.821
2,6.375,999,3.393
1.5,5.875,30,3.036
2.667,7.125,999,3.964
1.333,8.125,999,2.464
1.333,6.875,10,2.821
1,8,999,3.429
1,9,999,3.964
1.333,9.125,999,3
1.667,9,999,2.786
1.333,8,999,2.429
1,7.75,999,3.571
1,5.25,999,2.786
2.667,5.75,30,3.143
1,5.5,999,9
2.167,5,50,3
1.333,8.25,999,3.571
1.5,8.333,20,2.893
1.5,7,999,3.464
2,8.5,999,3.679
1.5,7.5,999,3.821
2,7.75,999,3.143
1.667,7.5,30,3.821
1,9.5,999,3.429
1.8,5.625,999,3.286
1,8.75,999,3.964
1.667,8.5,20,3.571
1.833,5.333,999,2.893
1.5,9.125,999,1.25
1,5.667,999,3.821
 , ,999, 
1.333,8.5,30,3.964
1.667,6.375,999,3.679
1.833,7.333,999,.964
1,9.25,999,3.964
1.167,8.75,999,3.143
1.333,7.333,999,3.571
1,7,999,2.464
1.5,7.333,999,2.464
 , ,10, 
1.5,7.25,999,3.143
1,8.5,30,9
 , ,999, 
2.167,7.5,999,2.5
1.667,7,999,3.821
 , ,999, 
1,9,999,3.107
1,9.125,999,3.964
1,8.75,999,3.679
1.833,4.667,999,2.607
1.667,7.75,40,2.643
1.333,7.625,999,2.464
2.833,7,20,3.321
2.5,7.5,20,2.857
 , ,20, 
1.5,7.25,999,3.286
1.167,9.5,999,3.429
1.833,8.5,40,3
 , ,999, 
1,9.25,999,3.571
1,7.75,999,3.393
 , ,999, 
1,7.75,999,3.964
1.833,8.375,999,2.714
1,9.125,999,3.964
3.5,2,999,3.964
3.667,3.625,999,3.821
1.667,7,10,2.786
1.167,9,999,3.964
 , ,999, 
 , ,999, 
1.333,8.25,999,3.036
1.5,7,30,3.536
 , ,999, 
1,8.5,999,3
1,9.25,30,9
1.167,6.125,999,3.964
1.167,6.75,999,3.964
1.5,7.5,20,2.893
1.167,8,999,3.429
1.833,6.667,999,3.429
1.167,7.5,999,3.821
 , ,999, 
1,6.625,20,3.821
2.667,8.5,999,3.571
1.167,8.25,999,3.393
2,6.25,999,2.643
1,7,999,3.571
1.167,7.5,999,2.357
1.167,8,999,3.286
1.167,8,999,3.464
1,8,999,3.143
1,8.333,999,3.821
1.833,8.25,999,3.429
1.333,9.25,999,3.679
1,9.625,999,2.893
2,6.25,20,2.179
1,7,999,3.821
1,8.75,999,3.286
2.167,7,999,3.679
1.167,8.625,999,3.429
3.833,6.75,4,1.929
1,9.25,999,3.714
1.833,9.5,999,3.25
1.167,9,999,3.821
 , ,999, 
1.833,6,999,3.286
1.5,8.5,20,2.036
1,7.875,999,3.964
1,8.25,40,3.143
1,7.333,30,3.964
 , ,999, 
1.333,8,999,3
1.667,8.375,999,3.429
1.667,7.75,999,3.036
1.167,9.75,999,3.036
1.833,7.25,999,2.857
3.5,7.5,20,2.643
1,8.5,999,3.679
2.333,9,999,2.893
1,7.875,12,3.143
 , ,999, 
2.333,5.375,999,2.214
 , ,999, 
 , ,20, 
1,10,999,3.821
1.5,8.75,999,3.714
 , ,60, 
2.5,5.667,999,1.5
2,6.75,10,3.107
1,8.125,30,3.536
1.333,9.25,999,3.964
1,8.875,999,3
 , ,60, 
3.333,6.333,999,2.464
 , ,999, 
 , ,999, 
1.667,8.25,999,2.714
1.333,9,20,3.857
1.333,5.75,999,2.821
1.333,9,999,2.607
1,10,999,3.964
1.333,8.375,999,3.821
3.167,7.5,40,2.893
2,8,40,3.964
1.5,6.875,999,3.679
1.333,7.25,20,3.25
1.5,7.125,999,2.75
 , ,999, 
 , ,999, 
1,8.5,999,3.571
1.167,8.5,999,3.821
 , ,999, 
3.167,5.875,30,2.857
2.833,5.25,999,3.571
 , ,999, 
1.167,8.25,999,2.571
1,7,999,2.857
3,7.625,8,3.536
1,8,999,9
1.167,9,999,1.714
 , ,30, 
1.333,7.625,999,3.571
2,7.5,999,3.821
1.5,6.875,30,2.607
1.333,8.833,999,3.042
1.333,6.25,50,3.964
2.5,5.5,999,2.357
 , ,999, 
1.333,8.75,999,2.75
1.333,6.875,999,3.393
2.333,5.625,80,3
1.667,8.25,999,3.429
9,7.167,999,2.786
2.167,5.375,999,2.786
1,7.667,20,3.179
1.167,8.375,40,2.179
2,7.25,999,9
1,9,999,3.393
1.667,9.25,999,3.857
1.333,9.25,30,3.964
 , ,999, 
1.333,7.875,999,3.857
1.5,7.125,999,3.679
1.167,7.333,999,3.179
1.5,6,30,3.964
1.5,6.667,999,3.536
1.833,7.5,999,3.536
1.5,8.333,25,3.286
 , ,25, 
1.667,7.125,999,2.464
1,9,999,3.964
 , ,999, 
1.167,6.5,999,3.143
4.333,4.75,999,1.536
1.333,7.75,999,2.714
2,6.667,999,1.5
1.5,8.75,999,2.857
 , ,999, 
1,7.875,999,3.679
2,8.75,999,3.821
2.333,5.75,999,2.857
 , ,7, 
1,9,999,3.536
1.167,9.375,20,2.464
1,7.75,20,2.714
1,7,999,2.036
2.667,7.25,999,2.75
 , ,999, 
3.5,5.125,999,2.036
1.333,7.5,999,3.429
1.5,9.25,999,3.286
1.333,5,999,2.464
 , ,999, 
1.833,5.333,999,3.964
1.167,8,999,1.536
1.667,5.75,999,3.857
1.333,9.25,999,2.036
1,9.5,999,2.607
2,6,999,3.036
2.667,6.875,999,2.893
1.667,8,999,3.964
1.333,7.25,999,3.964
2.667,5.5,20,2.893
1.5,9,999,3.143
2.833,6.5,999,3.179
 , ,60, 
1.333,8.375,999,3.429
1,8.333,40,3
1.5,7.625,12,2.607
1.333,6.25,999,2.607
1.333,7.5,999,3.393
1.667,8.875,20,3.714
1,8,30,2.036
2,7.5,999,1.107
1.333,9.125,999,3.143
1.667,6.625,15,2.036
1.167,8.333,999,3.958
 , ,999, 
1,8.5,999,2.75
1,8.5,999,3.107
1,9.333,999,3.536
1.167,8,999,1.071
1,4.375,20,2.714
1,6.5,20,2.208
2.5,6.667,999,3.679
1.667,8.25,999,2.071
1.667,7.75,999,3.179
 , ,999, 
1,8.75,999,3.429
 , ,30, 
1.167,9.25,999,2.214
1.167,8.625,30,3.821
2.167,7,999,1.679
2.333,9.125,40,1.357
1.333,8.5,15,3
 , ,20, 
1.333,6.75,999,2.75
1.5,7,999,2.75
1.333,7.667,999,3.964
 , ,999, 
2.167,7.375,999,1.393
1.333,6.75,999,2.857
2.167,6,999,2.607
1.667,6,999,3.429
2.167,3.5,30,2.036
1.5,9.5,999,3.821
1,8,20,3.036
1.667,8.5,12,2.179
1,8.75,15,3.429
1.167,6.75,999,3.321
1.333,8.25,10,2.857
2.333,5.75,999,3.571
1.5,7.25,50,3.714
1,7.667,999,3.429
1.333,8.125,999,3.571
1.333,7.375,999,2.321
1,8.5,20,3.964
1.167,8,999,3
1.333,9,999,3.821
1,8.875,999,3.821
1.833,9.125,999,3.857
1,9.5,23,3.536
1.167,8.5,999,3.429
1.333,8.875,999,2.607
1.333,8,20,1.786
1.5,8,999,3.964
1.5,9.667,999,3.821
 , ,20, 
1,8.875,999,3.571
1.333,8.125,999,3.607
2,8.25,999,3.571
1,9,999,2.893
1.167,8.375,999,1.786
1.167,7,999,3.964
1,8.5,999,3.821
1.333,9.25,999,3.821
1.333,5.875,999,3.036
1,7.5,20,2.214
1.333,7.667,999,3
1.167,9.75,999,3.679
2.333,5.333,999,3.286
1,8.125,999,1.821
1.833,8.125,999,2.893
3,3.5,997,2.893
1.5,7.5,20,2.607
1,9,999,3.964
1.5,7.75,999,2.893
1,8.125,5,2.036
2.667,7.125,30,3.429
 , ,999, 
1.5,6,10,3.964
 , ,999, 
1.167,7,999,3.536
1.333,9,999,3.857
2.333,7.625,999,3.821
1.667,8,999,3.429
2,8.5,999,3.5
1.667,7.625,999,3.179
